"Isolation","Trait_A","Trait_B","Observed_NN","Percent_NN"
"0","0","0",0,0
"Pathogenic","Glucose_F","Glucose",0,0
"Pathogenic","Glucose_F","Growth at 25°C",0,0
"Pathogenic","Glucose_F","Growth at 37°C",0,0
"Pathogenic","Galactose_F","Glucose",0,0
"Pathogenic","Galactose_F","Growth at 25°C",0,0
"Pathogenic","Galactose_F","Growth at 37°C",0,0
"Pathogenic","Sucrose_F","Glucose",0,0
"Pathogenic","Sucrose_F","Growth at 25°C",0,0
"Pathogenic","Sucrose_F","Growth at 37°C",0,0
"Pathogenic","Maltose_F","Glucose",0,0
"Pathogenic","Maltose_F","Growth at 25°C",0,0
"Pathogenic","Maltose_F","Growth at 37°C",0,0
"Pathogenic","Lactose_F","Glucose",0,0.032
"Pathogenic","Lactose_F","Growth at 25°C",0,0.032
"Pathogenic","Lactose_F","Growth at 37°C",0,0.326
"Pathogenic","Raffinose_F","Glucose",0,0
"Pathogenic","Raffinose_F","Growth at 25°C",0,0
"Pathogenic","Raffinose_F","Growth at 37°C",0,0
"Pathogenic","Trehalose_F","Glucose",0,0
"Pathogenic","Trehalose_F","Growth at 25°C",0,0
"Pathogenic","Trehalose_F","Growth at 37°C",0,0
"Pathogenic","Glucose","Inulin",22,1
"Pathogenic","Glucose","Sucrose",14,0
"Pathogenic","Glucose","Raffinose",16,0
"Pathogenic","Glucose","Melibiose",19,0.994
"Pathogenic","Glucose","Galactose",6,0
"Pathogenic","Glucose","Lactose",19,0.999
"Pathogenic","Glucose","Trehalose",8,0
"Pathogenic","Glucose","Maltose",13,0
"Pathogenic","Glucose","Melezitose",15,0
"Pathogenic","Glucose","Methyl-?-D-glucoside",17,0
"Pathogenic","Glucose","Soluble Starch",18,0
"Pathogenic","Glucose","Cellobiose",8,0
"Pathogenic","Glucose","Salicin",8,0
"Pathogenic","Glucose","L-Sorbose",7,0
"Pathogenic","Glucose","L-Rhamnose",15,0
"Pathogenic","Glucose","D-Xylose",8,0
"Pathogenic","Glucose","L-Arabinose",12,0
"Pathogenic","Glucose","D-Arabinose",17,0
"Pathogenic","Glucose","D-Ribose",12,0
"Pathogenic","Glucose","Methanol",23,1
"Pathogenic","Glucose","Ethanol",4,0
"Pathogenic","Glucose","Glycerol",2,0
"Pathogenic","Glucose","Erythritol",13,0
"Pathogenic","Glucose","Ribitol",8,0
"Pathogenic","Glucose","Galactitol",19,0.948
"Pathogenic","Glucose","D-Mannitol",6,0
"Pathogenic","Glucose","D-Glucitol",3,0
"Pathogenic","Glucose","myo-Inositol",22,1
"Pathogenic","Glucose","DL-Lactate",13,0
"Pathogenic","Glucose","Succinate",2,0
"Pathogenic","Glucose","Citrate",6,0
"Pathogenic","Glucose","D-Gluconate",4,0
"Pathogenic","Glucose","D-Glucosamine",13,0
"Pathogenic","Glucose","Nitrate",22,0.999
"Pathogenic","Glucose","Vitamin-free",17,0.149
"Pathogenic","Glucose","2-Keto-D-gluconate",10,0
"Pathogenic","Glucose","Starch formation",23,1
"Pathogenic","Glucose","Growth at 19°C",0,0
"Pathogenic","Glucose","Growth at 25°C",0,0
"Pathogenic","Glucose","Growth at 30°C",3,0
"Pathogenic","Glucose","Growth at 37°C",0,0
"Pathogenic","Inulin","Growth at 25°C",0,0
"Pathogenic","Inulin","Growth at 37°C",0,0
"Pathogenic","Sucrose","Growth at 25°C",0,0
"Pathogenic","Sucrose","Growth at 37°C",0,0
"Pathogenic","Raffinose","Growth at 25°C",0,0
"Pathogenic","Raffinose","Growth at 37°C",0,0
"Pathogenic","Melibiose","Growth at 25°C",0,0
"Pathogenic","Melibiose","Growth at 37°C",0,0
"Pathogenic","Galactose","Growth at 25°C",0,0
"Pathogenic","Galactose","Growth at 37°C",0,0
"Pathogenic","Lactose","Growth at 25°C",0,0
"Pathogenic","Lactose","Growth at 37°C",0,0
"Pathogenic","Trehalose","Growth at 25°C",0,0
"Pathogenic","Trehalose","Growth at 37°C",0,0
"Pathogenic","Maltose","Growth at 25°C",0,0
"Pathogenic","Maltose","Growth at 37°C",0,0
"Pathogenic","Melezitose","Growth at 25°C",0,0
"Pathogenic","Melezitose","Growth at 37°C",0,0
"Pathogenic","Methyl-?-D-glucoside","Growth at 25°C",0,0
"Pathogenic","Methyl-?-D-glucoside","Growth at 37°C",0,0
"Pathogenic","Soluble Starch","Growth at 25°C",0,0
"Pathogenic","Soluble Starch","Growth at 37°C",0,0
"Pathogenic","Cellobiose","Growth at 25°C",0,0
"Pathogenic","Cellobiose","Growth at 37°C",0,0
"Pathogenic","Salicin","Growth at 25°C",0,0
"Pathogenic","Salicin","Growth at 37°C",0,0
"Pathogenic","L-Sorbose","Growth at 25°C",0,0
"Pathogenic","L-Sorbose","Growth at 37°C",0,0
"Pathogenic","L-Rhamnose","Growth at 25°C",0,0
"Pathogenic","L-Rhamnose","Growth at 37°C",0,0
"Pathogenic","D-Xylose","Growth at 25°C",0,0
"Pathogenic","D-Xylose","Growth at 37°C",0,0
"Pathogenic","L-Arabinose","Growth at 25°C",0,0
"Pathogenic","L-Arabinose","Growth at 37°C",0,0
"Pathogenic","D-Arabinose","Growth at 25°C",0,0
"Pathogenic","D-Arabinose","Growth at 37°C",0,0
"Pathogenic","D-Ribose","Growth at 25°C",0,0
"Pathogenic","D-Ribose","Growth at 37°C",0,0
"Pathogenic","Methanol","Growth at 25°C",0,0
"Pathogenic","Methanol","Growth at 37°C",0,0.002
"Pathogenic","Ethanol","Growth at 25°C",0,0
"Pathogenic","Ethanol","Growth at 37°C",0,0
"Pathogenic","Glycerol","Growth at 25°C",0,0
"Pathogenic","Glycerol","Growth at 37°C",0,0
"Pathogenic","Erythritol","Growth at 25°C",0,0
"Pathogenic","Erythritol","Growth at 37°C",0,0
"Pathogenic","Ribitol","Growth at 25°C",0,0
"Pathogenic","Ribitol","Growth at 37°C",0,0
"Pathogenic","Galactitol","Growth at 25°C",0,0
"Pathogenic","Galactitol","Growth at 37°C",0,0
"Pathogenic","D-Mannitol","Growth at 25°C",0,0
"Pathogenic","D-Mannitol","Growth at 37°C",0,0
"Pathogenic","D-Glucitol","Growth at 25°C",0,0
"Pathogenic","D-Glucitol","Growth at 37°C",0,0
"Pathogenic","myo-Inositol","Growth at 25°C",0,0
"Pathogenic","myo-Inositol","Growth at 37°C",0,0
"Pathogenic","DL-Lactate","Growth at 25°C",0,0
"Pathogenic","DL-Lactate","Growth at 37°C",0,0
"Pathogenic","Succinate","Growth at 25°C",0,0
"Pathogenic","Succinate","Growth at 37°C",0,0
"Pathogenic","Citrate","Growth at 25°C",0,0
"Pathogenic","Citrate","Growth at 37°C",0,0
"Pathogenic","D-Gluconate","Growth at 25°C",0,0
"Pathogenic","D-Gluconate","Growth at 37°C",0,0
"Pathogenic","D-Glucosamine","Growth at 25°C",0,0
"Pathogenic","D-Glucosamine","Growth at 37°C",0,0
"Pathogenic","Nitrate","Growth at 25°C",0,0
"Pathogenic","Nitrate","Growth at 37°C",0,0
"Pathogenic","Vitamin-free","Growth at 25°C",0,0
"Pathogenic","Vitamin-free","Growth at 37°C",0,0
"Pathogenic","2-Keto-D-gluconate","Growth at 25°C",0,0
"Pathogenic","2-Keto-D-gluconate","Growth at 37°C",0,0
"Pathogenic","Starch formation","Growth at 25°C",0,0
"Pathogenic","Starch formation","Growth at 37°C",0,0.001
"Pathogenic","Growth at 19°C","Growth at 25°C",0,0
"Pathogenic","Growth at 19°C","Growth at 37°C",0,0
"Pathogenic","Growth at 25°C","Growth at 30°C",3,0
"Pathogenic","Growth at 25°C","Growth at 37°C",0,0
"Pathogenic","Growth at 30°C","Growth at 37°C",0,0
"Clinical","Glucose_F","Glucose",0,0
"Clinical","Glucose_F","Glycerol",2,0
"Clinical","Glucose_F","Succinate",2,0
"Clinical","Glucose_F","Citrate",6,0.016
"Clinical","Glucose_F","Growth at 19°C",0,0
"Clinical","Glucose_F","Growth at 25°C",0,0
"Clinical","Glucose_F","Growth at 30°C",3,0
"Clinical","Galactose_F","Glucose",0,0
"Clinical","Galactose_F","Glycerol",2,0
"Clinical","Galactose_F","Succinate",2,0.001
"Clinical","Galactose_F","Citrate",6,0.837
"Clinical","Galactose_F","Growth at 19°C",0,0
"Clinical","Galactose_F","Growth at 25°C",0,0
"Clinical","Galactose_F","Growth at 30°C",3,0.009
"Clinical","Sucrose_F","Glucose",0,0
"Clinical","Sucrose_F","Glycerol",2,0.001
"Clinical","Sucrose_F","Succinate",2,0
"Clinical","Sucrose_F","Citrate",6,0.632
"Clinical","Sucrose_F","Growth at 19°C",0,0
"Clinical","Sucrose_F","Growth at 25°C",0,0
"Clinical","Sucrose_F","Growth at 30°C",3,0.007
"Clinical","Maltose_F","Glucose",0,0
"Clinical","Maltose_F","Glycerol",2,0.016
"Clinical","Maltose_F","Succinate",2,0.018
"Clinical","Maltose_F","Citrate",6,0.99
"Clinical","Maltose_F","Growth at 19°C",0,0
"Clinical","Maltose_F","Growth at 25°C",0,0
"Clinical","Maltose_F","Growth at 30°C",3,0.101
"Clinical","Lactose_F","Glucose",0,0.809
"Clinical","Lactose_F","Glycerol",2,1
"Clinical","Lactose_F","Succinate",2,1
